SCENARIO;PERIOD;ENTITY;FUNCTIONAL_AREA;ACCOUNT;CURRENCY;DESTINATION;CUSTOMER;PRODUCT;AMOUNT;Unnamed: 10;Unnamed: 11;BUSINESS_TYPE;UOM;IOM;TERRITORY;CHANEL;FAILED_TARGET;REASON
2024_ACT;01;ETI_0052 ;DST01|DST_AR1_LV1_GS;ACC_GL_A156501;EUR;DST_0036_C194200_BA2;CUS_IBE_DOM_52003790;PDT_10340018;30000;;;NA;NA;NA;NA;NA;DST_ES01_GEN-EDP-ES_CC166500;Destination absente du Master Data
2024_ACT;01;ETI_0052 ;DST01|DST_AR1_LV1_GS;ACC_GL_A156501;EUR;DST_0036_C194200_BA2;CUS_IBE_DOM_52003790;PDT_10338874;15000;;;NA;NA;NA;NA;NA;DST_ES01_GEN-EDP-ES_CC166500;Destination absente du Master Data
